step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v9,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,-90.000000,-0.000000,-0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238032
0,B0100,L7_far_low_slow_aggressive,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,-90.000000,-0.000000,-0.000000,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.239399
1,A0100,adaptive_eagle_v9,HABFM,3313.086172,95.533672,84.499761,179.821376,-95.533746,14999.805930,385.011549,21562.158690,-303.545362,-104.746193,-90.981435,0.039658,False,False,False,False,False,True,False,2-circle,-1.000000,0.465072,100.000000,100.000000,0.000000,0.000000,-90.989766,-0.981685,-1.296548,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.191343
1,B0100,L7_far_low_slow_aggressive,HABFM,3313.086172,95.533672,84.499761,179.821376,-95.533746,14999.805930,385.011549,21562.158690,-303.545362,-104.746193,-90.981435,0.039658,False,False,False,False,False,True,False,2-circle,-1.000000,0.465072,100.000000,100.000000,0.000000,0.000000,-90.989766,-0.981685,-1.296548,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.211393
2,A0100,adaptive_eagle_v9,HABFM,3358.258876,100.968433,79.612458,178.671388,-100.971720,14998.239649,383.292669,21502.128083,-300.153035,-138.675360,-174.754982,0.112679,False,False,False,False,False,True,False,2-circle,-1.000000,5.380058,100.000000,100.000000,0.000000,0.000000,-92.868925,-2.775429,-4.535134,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.135758
2,B0100,L7_far_low_slow_aggressive,HABFM,3358.258876,100.968433,79.612458,178.671388,-100.971720,14998.239649,383.292669,21502.128083,-300.153035,-138.675360,-174.754982,0.112679,False,False,False,False,False,True,False,2-circle,-1.000000,5.380058,100.000000,100.000000,0.000000,0.000000,-92.868925,-2.775429,-4.535134,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.185663
3,A0100,adaptive_eagle_v9,HABFM,3429.648288,106.220852,75.888308,177.051045,-106.245613,14993.944460,381.459691,21435.775987,-331.760484,-149.837212,-245.684237,0.192002,False,False,False,False,False,True,False,2-circle,-1.000000,18.761805,100.000000,100.000000,0.000000,0.000000,-95.026903,-4.700533,-7.425699,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.091872
3,B0100,L7_far_low_slow_aggressive,HABFM,3429.648288,106.220852,75.888308,177.051045,-106.245613,14993.944460,381.459691,21435.775987,-331.760484,-149.837212,-245.684237,0.192002,False,False,False,False,False,True,False,2-circle,-1.000000,18.761805,100.000000,100.000000,0.000000,0.000000,-95.026903,-4.700533,-7.425699,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.163024
4,A0100,adaptive_eagle_v9,HABFM,3522.883053,111.226923,73.279298,175.110453,-111.321897,14985.911950,379.269485,21353.982438,-408.967743,-147.566472,-303.531769,0.270855,False,False,False,False,False,True,False,2-circle,-1.000000,40.943266,100.000000,100.000000,0.000000,0.000000,-97.293696,-6.579718,-10.064679,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.081447
4,B0100,L7_far_low_slow_aggressive,HABFM,3522.883053,111.226923,73.279298,175.110453,-111.321897,14985.911950,379.269485,21353.982438,-408.967743,-147.566472,-303.531769,0.270855,False,False,False,False,False,True,False,2-circle,-1.000000,40.943266,100.000000,100.000000,0.000000,0.000000,-97.293696,-6.579718,-10.064679,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.142900
5,A0100,adaptive_eagle_v9,HABFM,3634.533664,115.918554,70.893088,173.174835,-116.172294,14973.366592,376.814437,21259.261655,-473.603916,-199.592257,-355.438438,0.351834,False,False,False,False,False,True,False,2-circle,-1.000000,70.451447,100.000000,100.000000,0.000000,0.000000,-99.701763,-8.467968,-12.520550,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.107516
5,B0100,L7_far_low_slow_aggressive,HABFM,3634.533664,115.918554,70.893088,173.174835,-116.172294,14973.366592,376.814437,21259.261655,-473.603916,-199.592257,-355.438438,0.351834,False,False,False,False,False,True,False,2-circle,-1.000000,70.451447,100.000000,100.000000,0.000000,0.000000,-99.701763,-8.467968,-12.520550,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.125046
6,A0100,adaptive_eagle_v9,HABFM,3764.579220,120.240756,67.540039,172.031853,-120.781435,14955.871553,374.280620,21157.514202,-508.737265,-331.540402,-410.667151,0.431523,False,False,False,False,False,True,False,2-circle,-1.000000,105.689869,100.000000,100.000000,0.000000,0.000000,-102.141657,-10.280786,-14.850293,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.127534
6,B0100,L7_far_low_slow_aggressive,HABFM,3764.579220,120.240756,67.540039,172.031853,-120.781435,14955.871553,374.280620,21157.514202,-508.737265,-331.540402,-410.667151,0.431523,False,False,False,False,False,True,False,2-circle,-1.000000,105.689869,100.000000,100.000000,0.000000,0.000000,-102.141657,-10.280786,-14.850293,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.109171
7,A0100,adaptive_eagle_v9,HABFM,3914.440329,124.120620,63.251159,171.334825,-125.162391,14932.924807,372.350338,21070.764796,-433.747029,-512.946383,-468.926636,0.372938,False,False,False,False,False,True,False,2-circle,-1.000000,146.161290,100.000000,100.000000,0.000000,0.000000,-101.450241,-8.863157,-17.071903,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.116874
7,B0100,L7_far_low_slow_aggressive,HABFM,3914.440329,124.120620,63.251159,171.334825,-125.162391,14932.924807,372.350338,21070.764796,-433.747029,-512.946383,-468.926636,0.372938,False,False,False,False,False,True,False,2-circle,-1.000000,146.161290,100.000000,100.000000,0.000000,0.000000,-101.450241,-8.863157,-17.071903,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.090738
